,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,1,1,149,1,9,2018-10-19,0.21,6,365
1,2,2,225,1,45,2019-05-21,0.38,2,355
2,2,1,150,3,0,,,1,365
3,1,2,89,1,270,2019-07-05,4.64,1,194
4,2,2,80,10,9,2018-11-19,0.1,1,0
5,2,2,200,3,74,2019-06-22,0.59,1,129
6,1,1,60,45,49,2017-10-05,0.4,1,0
7,2,1,79,2,430,2019-06-24,3.47,1,220
8,2,1,79,2,118,2017-07-21,0.99,1,0
9,2,2,150,1,160,2019-06-09,1.33,4,188
10,2,2,135,5,53,2019-06-22,0.43,1,6
11,2,1,85,2,188,2019-06-23,1.5,1,39
12,1,1,89,4,167,2019-06-24,1.34,3,314
13,2,1,85,2,113,2019-07-05,0.91,1,333
14,2,2,120,90,27,2018-10-31,0.22,1,0
15,1,2,140,2,148,2019-06-29,1.2,1,46
16,1,2,215,2,198,2019-06-28,1.72,1,321
17,2,1,140,1,260,2019-07-01,2.12,1,12
18,1,2,99,3,53,2019-06-22,4.44,1,21
19,2,2,190,7,0,,,2,249
20,1,2,299,3,9,2011-12-28,0.07,1,0
21,1,1,130,2,130,2019-07-01,1.09,6,347
22,1,1,80,1,39,2019-01-01,0.37,6,364
23,1,1,110,2,71,2019-07-02,0.61,6,304
24,1,2,120,2,88,2019-06-19,0.73,2,233
25,1,1,60,1,19,2019-06-23,1.37,2,85
26,2,1,80,4,0,,,1,0
27,2,2,150,10,58,2017-08-13,0.49,1,75
28,2,1,44,3,108,2019-06-15,1.11,3,311
29,2,2,180,14,29,2019-04-19,0.24,1,67
30,2,1,50,3,242,2019-06-01,2.04,3,355
31,2,1,52,2,88,2019-06-14,1.42,1,255
32,1,1,55,4,197,2019-06-15,1.65,3,284
33,2,1,50,3,273,2019-07-01,2.37,3,359
34,1,1,70,1,74,2019-05-12,0.66,2,269
35,1,1,89,4,168,2019-06-21,1.41,3,340
36,1,1,35,60,0,,,1,365
37,1,2,85,2,231,2019-06-22,1.96,2,22
38,1,1,150,1,0,,,1,365
39,2,3,40,1,214,2019-07-05,1.81,4,188
40,2,1,68,2,245,2019-06-21,2.08,2,96
41,1,2,120,3,15,2019-05-27,0.39,1,345
42,1,1,120,7,25,2018-09-30,0.23,1,311
43,2,1,135,4,81,2019-06-16,0.69,1,273
44,2,2,150,7,97,2019-06-13,0.84,1,309
45,1,2,150,29,11,2019-06-05,0.49,1,95
46,3,1,130,3,248,2019-07-01,2.25,1,215
47,1,2,110,7,61,2019-05-25,0.52,1,265
48,1,2,115,3,11,2017-01-01,0.1,1,0
49,1,1,80,3,135,2019-06-17,1.16,2,192
50,1,1,80,1,112,2019-06-16,1.01,3,251
51,2,2,151,2,73,2019-07-07,0.63,1,302
52,1,2,228,3,82,2019-05-17,0.7,1,140
53,1,2,144,2,328,2019-06-29,2.82,1,234
54,2,2,200,7,19,2019-03-25,0.22,1,257
55,1,2,150,30,105,2019-06-22,0.9,1,30
56,2,1,110,5,19,2019-05-18,0.17,1,301
57,2,1,69,2,289,2019-06-09,2.49,2,294
58,1,1,49,4,138,2019-06-04,1.19,3,320
59,2,2,180,30,21,2019-06-29,0.3,1,154
60,1,1,80,2,42,2019-06-30,0.38,1,263
61,2,2,375,180,5,2018-11-03,0.12,1,180
62,2,2,250,2,66,2019-03-30,0.57,2,231
63,1,2,200,30,143,2019-01-26,1.33,2,297
64,1,1,55,7,27,2017-09-30,0.23,2,292
65,2,1,52,30,191,2019-05-16,1.65,1,191
66,1,2,225,3,4,2017-09-24,0.16,1,0
67,2,1,80,1,338,2019-07-01,4.72,2,72
68,1,2,275,1,148,2019-06-23,1.4,1,362
69,2,1,99,1,106,2019-06-21,1.26,2,336
70,2,2,225,4,190,2019-06-23,1.64,1,215
71,2,2,230,9,49,2018-05-14,0.43,1,116
72,2,1,51,7,23,2019-06-01,0.43,1,88
73,2,1,65,2,49,2019-06-18,1.6,2,336
74,1,1,105,2,105,2019-06-26,0.92,1,304
75,2,2,190,5,21,2019-01-02,0.2,1,224
76,2,1,200,1,142,2019-07-06,1.5,1,322
77,3,1,70,30,25,2019-05-31,0.22,1,324
78,1,1,95,3,143,2019-06-16,1.28,1,132
79,2,1,150,3,167,2019-05-28,1.65,1,295
80,1,1,145,3,61,2019-04-22,0.54,4,238
81,2,2,110,31,54,2019-03-23,0.49,1,209
82,2,2,285,5,70,2019-06-30,0.62,1,328
83,1,2,130,6,16,2019-06-15,0.15,1,38
84,2,1,94,30,94,2019-04-08,0.84,1,188
85,1,2,800,1,25,2016-08-04,0.24,1,7
86,1,2,105,3,61,2018-08-09,0.53,1,272
87,2,1,60,3,194,2019-06-30,1.73,1,26
88,2,1,50,1,2,2016-02-14,0.05,1,0
89,1,1,85,3,174,2019-06-22,1.54,4,288
90,1,1,65,4,24,2019-05-26,0.28,1,317
91,1,2,131,4,166,2019-06-27,3.4,1,207
92,1,1,98,7,16,2019-05-31,0.2,6,185
93,1,2,250,7,21,2019-05-21,0.3,1,158
94,1,2,100,5,168,2018-07-22,1.57,1,0
95,1,2,105,3,118,2019-06-18,1.05,2,9
96,2,2,140,3,81,2019-07-07,0.71,1,198
97,2,1,89,1,1,2018-10-09,0.11,1,365
98,2,1,98,30,30,2019-05-01,0.27,2,364
99,1,2,125,7,139,2018-10-28,1.23,2,311
100,2,1,60,3,11,2019-01-03,0.87,3,219
101,1,2,175,2,233,2019-06-24,2.09,3,342
102,2,1,65,2,68,2012-11-01,0.6,1,312
103,2,2,500,4,46,2019-05-18,0.55,2,243
104,1,1,101,3,335,2019-05-29,3.02,1,152
105,1,2,220,30,88,2018-11-02,0.79,1,9
106,1,2,125,90,162,2019-06-28,1.46,2,137
107,1,2,80,30,29,2018-05-26,0.4,1,222
108,2,1,100,2,170,2019-06-23,1.61,1,346
109,1,2,200,30,19,2017-03-17,0.2,1,208
110,2,1,59,2,334,2019-06-16,3.0,2,279
111,1,1,125,2,19,2019-06-02,0.2,6,250
112,2,2,140,7,12,2017-12-11,0.13,1,164
113,1,2,120,30,467,2018-12-30,4.22,2,192
114,2,2,350,2,7,2017-08-09,0.06,4,298
115,2,2,199,5,38,2015-12-02,0.38,1,260
116,1,2,325,3,324,2019-06-23,3.01,1,107
117,2,2,235,6,27,2019-04-27,0.27,1,199
118,2,2,225,1,115,2019-06-07,1.05,4,299
