,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32645,1,2,295,3,11,2019-05-16,0.87,1,1
23615,2,1,70,2,2,2018-06-25,0.16,1,0
31183,1,1,58,2,0,,,2,0
29260,1,2,75,3,87,2019-07-05,4.91,1,267
7275,3,1,38,5,13,2018-12-18,0.25,1,0
26011,2,2,100,30,3,2019-06-02,0.21,31,270
46572,2,2,260,7,1,2019-06-21,1.0,1,43
19902,2,2,147,1,42,2019-06-23,1.32,1,4
14159,1,1,34,1,0,,,1,0
28528,1,1,65,1,0,,,1,0
17617,2,2,125,30,6,2019-02-08,0.24,9,150
41778,2,2,310,30,0,,,65,338
45661,1,1,50,1,0,,,5,329
38560,2,1,79,1,4,2019-05-27,0.61,1,0
46329,1,2,329,30,1,2019-06-25,1.0,2,63
48183,3,1,115,1,0,,,2,170
37273,1,2,140,3,3,2019-04-28,0.48,1,0
4160,1,2,225,3,95,2019-06-21,1.51,2,112
13542,2,1,149,1,0,,,5,281
44652,1,1,50,2,7,2019-06-21,3.82,1,124
46795,2,1,88,30,0,,,7,364
40071,3,2,200,2,1,2019-01-01,0.16,1,0
18659,1,2,160,14,4,2017-09-10,0.12,1,0
34913,1,2,125,2,51,2019-07-01,5.03,1,89
2633,2,1,75,4,14,2017-09-29,0.23,3,0
37950,3,1,80,2,5,2019-06-07,2.5,1,57
9137,1,2,140,2,1,2015-08-24,0.02,1,0
36493,1,2,134,2,15,2019-05-26,1.91,1,41
12524,1,1,65,10,1,2016-01-12,0.02,1,0
4178,1,2,159,30,7,2019-01-07,0.12,52,327
43093,2,2,300,2,16,2019-06-30,5.78,1,52
44177,3,1,95,1,0,,,1,180
29582,2,1,70,15,0,,,1,0
550,1,2,248,2,58,2019-06-04,0.61,6,199
47400,2,2,750,1,1,2019-07-07,1.0,5,364
21501,1,1,90,2,3,2017-07-30,0.12,1,0
31161,1,2,80,30,5,2019-05-17,0.42,8,161
45491,2,2,85,7,0,,,1,67
15953,1,1,50,3,3,2016-12-06,0.08,1,0
37722,1,2,295,2,4,2019-01-01,0.58,1,0
28206,2,1,80,14,0,,,1,0
14653,2,1,109,3,0,,,1,0
4949,2,1,100,3,16,2016-03-22,0.26,1,0
14160,1,1,45,2,27,2019-07-05,0.78,1,339
3316,3,2,135,3,38,2019-07-02,0.62,1,243
43666,5,2,115,4,9,2019-07-02,3.97,3,124
10883,2,1,185,5,7,2016-10-28,0.15,1,341
38056,1,2,150,3,3,2019-04-13,0.48,1,42
38748,2,2,290,30,0,,,232,312
29701,1,1,80,1,5,2019-02-16,0.53,2,0
35337,1,1,65,1,26,2019-05-23,2.52,3,0
32142,1,1,45,31,3,2019-06-09,0.27,2,242
19770,1,2,80,1,127,2019-07-06,6.54,1,7
46085,3,1,75,1,5,2019-07-05,4.05,3,365
6237,2,1,69,7,15,2019-06-11,0.27,1,213
16181,3,1,65,4,28,2018-12-14,0.74,1,0
33135,1,1,60,4,0,,,1,0
3524,2,2,195,3,3,2019-01-03,0.21,1,0
17708,2,1,69,15,19,2019-06-15,0.54,3,106
25356,3,2,160,5,2,2018-09-02,0.09,1,0
11661,1,2,150,3,12,2016-07-19,0.28,1,0
29333,2,1,250,1,0,,,2,0
28148,1,2,90,3,0,,,1,0
46041,2,2,235,2,4,2019-07-02,4.0,1,129
45019,2,1,100,1,0,,,7,230
48590,2,2,239,1,0,,,1,15
48849,2,2,65,1,0,,,1,32
40865,5,2,115,3,19,2019-07-07,3.41,1,228
40658,3,2,60,1,30,2019-06-29,5.45,1,282
37673,1,1,60,7,1,2018-11-28,0.13,1,173
12894,2,1,45,14,0,,,1,0
3719,2,2,300,1,2,2016-03-13,0.05,1,0
6355,3,1,35,5,9,2018-12-30,0.16,2,0
6521,1,1,69,4,5,2016-02-10,0.09,4,98
9288,2,2,198,30,5,2019-01-08,0.11,1,301
11729,2,2,100,5,3,2018-01-13,0.07,1,0
15190,5,1,60,2,47,2019-05-10,1.22,4,249
42160,1,1,225,1,0,,,1,179
2284,1,2,325,2,19,2018-12-27,0.31,4,328
39438,2,2,350,2,9,2019-06-23,1.32,1,286
13905,1,1,45,1,0,,,1,0
25408,2,2,200,6,2,2017-10-24,0.09,1,341
3503,1,2,100,4,45,2019-01-03,1.01,1,190
32595,1,2,125,2,64,2019-06-27,4.92,1,194
35261,1,1,68,2,5,2019-05-19,0.49,3,365
20418,1,2,115,5,47,2019-06-01,1.53,2,91
33609,1,1,55,3,2,2018-07-29,0.17,1,36
30214,3,2,65,15,1,2018-03-04,0.06,1,0
15178,2,2,300,5,3,2018-12-31,0.08,1,9
29514,2,2,100,3,52,2019-05-31,3.2,1,3
15593,2,1,98,3,98,2019-07-03,2.66,1,278
25029,1,2,100,1,3,2017-09-08,0.13,1,0
